name=郑码
key=abcdefghijklmnopqrstuvwxyz
len=4
match=0
wildcard=?
assist=] mb/pinyin.txt
ahfs 武术
ahgs 一成不变
ahha 武威
ahhs 正式成立
ahi 武
ahii 武 虣
ahir 鹉 鵡
ahjj 武器
ahjr 武鸣
ahkk 武昌
ahll 武山
ahlo 貮
ahls 一致同意
ahmc 武生
ahmu 一致性
ahnb 武侠
ahnd 武川
ahnz 下车伊始
ahpl 武钢
ahqm 武胜
ahr 鹉
ahrf 形式多样
ahsl 一致意见
ahsn 百感交集
ahss 形式主义
ahst 正式访问
ahsu 一致认为
ahtb 武装
ahte 武斗
ahtr 武将
ahvc 武清
ahvx 武汉
ahwa 武宁
ahwb 武进 武宣
ahwd 武定
ahwh 形式逻辑
ahww 一致通过
ahwy 武官
ahwz 武安
ahyj 武强
ahym 武力
ahyr 武隆
ahzu 武断
ahzz 武乡
ai 丁
aia 鄢
aiaa 丅
aiae 丁型
aiaj 哥 可卡因
aiao 一步一个脚印
aiaq 百战百胜
aiar 下列
aiau 与此无关
aiav 一点一滴
aiax 更上一层楼
aiba 正巧
aibb 政坛
aibi 下工
aibk 下来
aibo 正规
aibv 下地
aibx 下坡
aiby 下场
aibz 下去
aicb 平步青云
aicj 正职
aicq 靕
aicu 下班
aid 下
aido 下挫
aids 下拉
aief 丁苯
aieh 下载
aiel 正直
aiev 下落
aiey 政协
aife 下棋
aifk 下榻
aifp 与此相反
aifs 丁醇
aifu 与此相关 下楼
aifv 下雨
aifx 政权
aify 正极
aifz 丁酸
aiga 百战不殆
aigj 下面 正面
aigo 顶 頂 頙
aigr 正确
aigu 与此有关
aigv 正在
aihb 正式
aihe 下车
aihn 一步到位
aihq 正轨
aihy 正切
aii 正
aiib 无止境 芈 羋
aiid 卝
aiij 正点 可卡因
aiin 雈
aiir 正餐
aij 可
aija 正号
aijh 戨
aiji 一点点
aijj 正品 下颚
aijm 下跌
aijr 歌 下图 一点儿
aijv 正中
aika 正题
aike 无上光荣
aikg 正畸
aiki 一步步
aiko 政界
aikv 正是
aikw 正常 政党
aikx 正当
aikz 正电
ailb 下周
aild 下同
ailh 下贱
ailk 与此同时
aill 下岗 下山
ailr 政见
ailw 正骨
aim 政
aimb 下等
aimd 下手
aime 下午 正午 下垂
aimf 政策
aimj 正告 丁种
aimm 政敌 下笔
aimo 政
aimy 正气
aimz 政委 万紫千红
aine 正值
ainf 政体
ainr 正像
ainx 正片
aioa 下颌
aioi 政企
aior 蘷 夒
aiow 下令 政令
aipi 下钻
aipl 下盘
aipx 正反
aiqe 下肢
aiqi 颪
aiqo 下风
aiqv 下月 正月
air 茍
airj 茍
airk 下旬
airl 正负
airr 正比
airs 羐
airy 政务
airz 鴊
aisj 下部 正误
aisk 下课
aisl 下调
aism 下放
aiso 正义 正文
aisq 下设
aisx 政变
aisy 下方
aitg 下头
aitm 下痢
aitn 政府
aitr 下次
aiuc 下情
aiug 丁类
aiuo 丁烯 正火
aiuw 丁烷
aiuy 鄢
aiuz 正数
aivb 政法
aivj 画蛇添足
aivl 下滑
aivm 下海
aivp 下浮 正派
aivs 下游
aivw 下沉
aivz 政治
aiwa 正宁
aiwb 正宗
aiwc 正割
aiwd 下定 正定
aiwf 下述
aiwg 下达
aiwk 政审
aiwl 正视
aiwr 正逢 政客
aiwu 正道
aiwy 下边 丁字
aiwz 忑 正安
aixa 下马
aixb 下层
aixj 下臂
aixk 下届
aixm 下属
aixy 政局
aiy 邒
aiyb 鄢陵
aiyd 乤
aiyi 下巴
aiyk 正阳
aiyr 下降 下陷
aiys 正弦 下弦
aiyx 下限
aiz 丐
aizc 政绩
aizj 正如 下台
aizl 政纲
aizq 焉能
aizs 正统
aizu 焉
aizv 下发
aizx 正经
aizy 正好 下级 丏
aizz 下乡
aj 可
aja 哥
ajae 副刊
ajaj 哥哥 融融 豌豆
ajak 可恶
ajam 一口气 一国两制
ajar 死路一条
ajat 两国政府 一呼百应
ajau 正中下怀
ajay 两口子
ajba 可巧
ajbb 歌坛
ajbj 可喜
ajbk 吞吐量
ajbn 副井
ajbx 歌声
ajci 可耻
ajcj 副职
ajct 两国间
ajcx 可取
ajdc 副团长
ajdm 囊括
ajdu 一团糟
ajeh 豆芽
ajek 豆苗
ajeq 可获
ajer 可敬 囊 嚢
ajew 豆蔻 百叶窗
ajex 豉
ajey 歌艺
ajfa 副本
ajfx 副根
ajga 歌厅
ajgb 一哄而起
ajgd 一蹶不振
ajge 一哄而散
ajgf 橐
ajgg 百听不厌
ajgi 可不
ajgj 可否
ajgl 开国大典
ajgq 可有
ajgs 一蹴而就
ajhm 无足轻重
aji 囊
ajii 蠹
ajix 叓
ajja 可贵 可口
ajjd 可因
ajje 可鄙
ajjf 櫜
ajji 可贵
ajjj 副品
ajjk 歌唱 疈
ajjn 歌喉
ajjs 歌咏
ajk 副
ajki 可由 畐
ajkk 副 歌曲
ajkm 歌星
ajkr 鶝
ajku 副业
ajkv 可是
ajkw 逼 可悲
ajl 融
ajld 鬲
ajle 鞷
ajlf 鬴
ajli 融
ajlr 可见 鹝 鷊
ajlv 可用
ajma 可卸
ajmd 歌手 副手
ajme 歌舞
ajmg 无中生有
ajmj 可靠 可知
ajml 可看
ajmm 可笑
ajmr 可先
ajmt 豆科
ajmv 可我
ajmy 可气
ajna 可使
ajne 可供 豍
ajnr 融化
ajns 可信 万事顺意
ajnv 可他
ajo 吏
ajoa 融合
ajob 融会
ajoi 可行
ajom 一路领先
ajor 鬷
ajos 吏
ajot 栆
ajox 副食
ajoy 两国人民
ajoz 歌颂
ajpw 可爱
ajqg 囊胚
ajr 歌
ajri 一路上
ajrk 可乐
ajrl 融解
ajrm 可疑
ajro 鬺
ajrr 可比
ajry 豌
ajse 可读
ajsf 可亲
ajsk 可谓
ajsl 可调
ajsp 歌谣
ajsq 可望
ajsx 可变
ajsy 歌词
ajtn 豆腐
ajtr 融资 武器装备 豆浆
aju 豆
ajua 豆
ajub 豇
ajue 可惜
ajug 頭
ajuj 副总
ajuk 可判 剅
ajum 两国关系 毭
ajun 可怕
ajuo 可怜 一鸣惊人
ajus 豆粒
ajuu 可憎
ajuv 囊中羞涩
ajuw 逗
ajux 可恨 豏
ajuy 郖
ajuz 正因为如此
ajvf 豆渣
ajvk 豆油 豆沙
ajvo 融洽
ajwg 可达
ajwl 可视
ajwt 两国之间
ajwu 可逆 歌迷
ajwx 融通
ajwy 副官
ajwz 无固定收入 可心
ajx 事
ajxe 歌剧
ajxl 可观
ajxy 开足马力
ajya 豆子
ajyk 鬸
ajyy 副翼 翮
ajz 蟗
ajzi 蟗
ajzo 可以
ajzq 可能
ajzy 吞吐能力
ajzz 可出
ak 更
akad 严于
akae 画刊
akai 更正 严正
akaj 无影无踪 百日咳
akak 画画
akal 两日内
akao 一览无余
akas 无时无刻
akav 一日游
akb 垩
akbh 晋城
akbm 天时地利 天时地利人和
akbn 正常工作
akbo 更替
akbz 更动
akcb 万里长城
akcd 亚非拉
akch 更长
akck 正当理由
akco 万里长征
akcz 恶毒
akda 严打 百里挑一
akdk 画押
akdm 夏时制
akdr 更换
akds 専
akdy 画报
akes 亚当斯敦
akfe 恶霸
akff 严禁
akfj 严整
akfk 恶棍
akfm 严酷
akfr 严格
akfu 正当权益
akfv 更要
akga 严厉
akgd 更大
akgj 画面
akgo 百思不得其解
akgq 更有
akgr 百思不解
akgs 亚太 形影不离
akgv 一尘不染
akgz 顶尖级
akhk 亚东
akho 亚欧
akhy 一辈子
akij 恶战
akjr 画图
akjv 晋中
akk 晋 曺
akkc 亚非
akkf 恶果
akkh 戬
akkm 更少 恶劣
akko 更小
akkq 严明
akkv 更是
akky 鄑
akla 画幅
aklz 严峻
akm 严
akmc 一览表 副省长
akmd 更少的
akme 晋升
akmk 严重
akml 万水千山
akmm 画笔
akmr 更稳
akmt 正常秩序
akmz 一星级
akna 更使
aknb 与日俱增
akng 恶臭
akno 亚伦
aknr 恶化 更低 画像
aknw 与时俱进 无师自通
aknx 画片
ako 更
akoa 严惩
akob 开明人士
akod 一小撮
akoj 无业人员
akok 一小时
akom 甦
akos 更
akou 开小差
akow 严令
akoy 郠
akpm 亚铁
akqq 画册
akrj 更名
akrt 严冬
akrv 更多
aks 求
akse 严谨
aksf 更新
aksj 更高
aksk 恶意
aksr 更衣
aktf 亚麻 恶魔
aktm 恶疾
akts 画廊
aktv 更应
aku 亚
akui 一星半点
akum 恶性
akuv 更为
akux 更快
akuy 画卷
akvb 画法 晋江
akvm 于是乎
akvo 无党派人士
akvp 无党派爱国人士
akvv 亚洲
akvw 更深
akvy 可是那
akw 恶
akwa 晋宁
akwb 亚运
akwd 严守
akwe 严寒
akwg 画家
akwh 亚军 正常运转
akwm 更迭 死里逃生
akwn 正常化
akwo 平易近人
akwt 严实
akwv 无党派
akww 严密
akwz 恶 恶心 恵
akxe 画展
akxk 畱
akxm 正当年
akxn 严肃
akxr 开曼群岛
akyj 更加
akym 更改
akyo 严办 下里巴人
akys 严防
akyt 恶习
akz 画
akze 无照经营 正电荷
akzi 画 更是如此
akzq 更能
akzs 叀
akzv 干电池
akzy 更好 晋级 正电子
al 两
alae 丙型
alaj 两可
alan 两百
alar 两列
alb 再
albb 两款
albc 副署长
albg 两项
albk 再来
albl 天罗地网
albm 两者
albo 百岁老人
albv 两地
albx 严峻考验
alby 再起
alcd 再三
alcv 再现
alcw 两鬓
aldx 一网打尽
alfe 再植
alff 两栖
alfl 丙酮
alfm 两枚
alfs 丙醇
alfu 两样
alfy 两极
algc 两套
algi 再不
algj 两面
alhv 两成
ali 巿 帀
alij 两点
alis 形同虚设
aljc 两国
aljo 两只
alkc 万用电表
alkv 丽水
alkw 两党
all 丽
allb 两岸四地
alld 丽
allg 两岸
allk 再则
alll 両
allp 彨
allr 再见 鹂
allt 麗
allv 两用
allw 逦
allx 两眼
ally 郦
allz 婯
almc 再生
almd 两手
alme 两千
almj 两种 丙种
almk 两利
almm 两年
alna 两便
alnl 两侧
alnn 两败俱伤
alno 两份
alnp 再版
alns 两倍
alo 丙
alob 再会
alod 丙
aloo 两 兩
alov 两个
aloy 两岸人民 邴
alpt 一瞬间
alqa 丙肝
alqb 两脚
alqn 一帆风顺
alrf 两条
alrt 可见度
alrz 鳾
alsf 天赐良机
alsl 两端
alss 再议
alsu 两旁
alsv 再说
alsy 丙方
altg 两头 两广
altk 两间
altp 彲
altr 再次 鸝 两次
altv 再度
altw 邐
alty 酈
alub 两半
aluf 两米
alug 丙类
alum 两性
aluu 一睹为快 天网恢恢
aluw 丙烷
alvb 丽江 一败涂地
alve 两湖
alvn 两淮
alw 迊
alwk 再审
alwm 再造
alwu 两道
alwy 两边
alxn 两难
alya 无助于
alyr 一目了然
alyw 两院
alyy 两翼
alzc 副县长
alze 一见如故
alzl 两眼发黑
alzo 丙纶
alzr 再婚
alzy 两级
alzz 再出
am 严重
amaa 无敌于天下
amad 天气形势
amaj 无利可图
amak 无私无畏
amat 一年一度
amba 一千五百米
ambb 一等功
ambf 平等互惠
ambj 一等品
ambm 平等互利
ambt 一等奖
ambw 政策规定
amce 无私奉献
amcj 一生中
amcs 再生产
amde 严重事故
amdm 严重损失
amdo 一笔抹杀
amee 亚穆苏克罗
ameg 歌舞厅
amej 歌舞团
amem 瓦利斯和富图纳
ameu 一千米
amex 一筹莫展 歌舞剧
amfo 百年树人
amfq 丁氰橡胶
amfu 政策性
amgb 严重破坏
amgd 一毛不拔
amgg 百看不厌
amgo 残缺不全
amgs 百年大计
amgw 百年不遇
amht 一年到头
amhv 天鹅湖
amhz 天鹅绒
amjc 副委员长
amjh 一气呵成
amju 可靠性
amkj 严重影响
amkm 顶刮刮
amku 严重性
amlj 再制品 豆制品
amlm 一年四季
amlw 一笑置之
amma 歌舞升平
ammc 万年青
amme 更年期
ammz 一年级
amnb 与生俱来
amns 可靠保证
amnw 万籁俱寂
amnz 开篇伊始
amob 可靠人士
ampk 严重后果
amps 严重错误
amra 一年比一年
amrb 一年多来
amrp 一笔勾销
amrv 天鹅湖
amrw 严重危害
amsp 政策方针
amsr 平等竞争
amtc 副科长
amue 一年半载
amug 亚特兰大
amur 一知半解
amvb 政策法规
amvv 死气沉沉
amwa 一气之下
amwf 可乘之机
amwp 百年之后
amws 无稽之谈
amww 两手空空
amwy 可乘之隙
amwz 百年之好
amxc 副秘书长
amxd 天气预报
amxl 一箭双雕
amya 一物降一物
amyt 一季度
amza 一系列
amzm 丁种维生素
an 百
anae 平白无故
anag 夏天
anam 无依无靠
anan 百依百顺 皕
anat 更何况
anay 百万
and 卅 丌
andj 百事
andl 无偿援助
anek 夏朝
anem 干什么
anfi 无休止
anfn 一体化
anfp 干休所
angf 百货大楼
angh 无伤大雅
angn 奡
anhb 夏至
anhc 副代表
anhh 开倒车
anhm 戛
anho 一代人
anhx 丣
anjy 夏邑
ank 百
anka 夏日 百日
ankb 百里
ankg 一息尚存
ankr 开白条
ankv 百川归海
anlz 夏县
anmg 两件套
anmj 夏种
anml 副作用
anmm 百年
anmt 百科
anmw 副伤寒
anmx 恶作剧
anmy 夏季
annb 无息贷款
annr 百货
anns 百倍
anog 哥伦布
anom 百余
anow 夏令
anoy 百分 百货公司
anpq 百般
anr 夏
anra 哥伦比亚
anrs 夏
anrt 百货店
anry 百色 鄾
ansb 百货商场
anse 百计
ansj 百部
anso 一代新人 殡仪馆
anst 可信度 百货商店
ansu 一位数
ansy 开信刀
antb 夏装
anuf 百米
anus 夏粮
anvr 百兆
anwg 百家
anwh 戞
anwk 一代宗师
anwo 天作之合
anwr 天伦之乐 憂
anww 无价之宝
anxr 平假名
anzm 夏收 百姓
anzz 百出
ao 丈
aoae 百合花
aoao 一个一个
aoau 一往无前
aoaw 万众一心
aobb 与会者
aobc 副会长
aobj 与会国
aobo 丈夫
aobr 一会儿
aodh 无人区
aody 残余势力
aoen 哥德堡
aoep 死得其所
aoeu 两全其美
aoez 下个世纪
aofy 一刹那
aogh 无微不至
aogk 无人不晓
aogl 与众不同
aogm 无人不知
aogn 天公不作美
aogq 无往不胜
aogz 严惩不怠
aoiu 可行性
aoiz 平行线
aoka 丈量
aoke 下个星期
aokn 顶得住
aolw 平行四边形
aoma 正人先正己
aomj 平行符号
aomk 无人知晓
aomr 平分秋色
aomt 下个季度
aonc 与会代表
aong 万念俱灰
aonu 天公作美
aooa 政企分开
aoob 壐
aooc 璽
aooi 蠒
aool 覼
aooo 爾
aoor 鸍
aoow 邇
aorb 一会儿工夫
aorc 平衡表
aorf 平衡木
aos 丈
aosb 无从说起
aosg 平行六面体
aosk 两个文明建设
aosn 与人方便
aoso 画饼充饥
aosx 开创新局面
aotv 无人问津
aoub 一分为二
aouu 与人为善
aouv 一往情深
aovf 一个样
aovk 一个是
aovo 一个个
aovq 下个月
aowa 百分之百
aowc 副馆长
aowe 夏令营
aowm 万全之策
aowt 无人过问
aowu 一念之差
aoxa 一个又一个
aoxj 副食品
aoxr 一个劲儿
aoxt 副食店
aoxy 正人君子
aoya 百分百
aoyc 百分表
aoyi 百分点
aoym 百分制
aoyp 一分钱
aoyr 百分比
aoys 百分率
aoyu 可分为 百分数
aoyv 两分法
aoyw 百分之
aoyx 无人驾驶飞机
aozk 万公里
aozv 一贫如洗
aozw 融会贯通
ap 一般
apag 万般无奈
apap 一错再错
apas 正反两方面
apat 开后门
apav 万金油
apbf 天翻地覆
apbs 一般来说 一般地说
apdd 无所事事
apdk 百般挑剔
apds 一般的说
apeo 平铺直叙
apev 一盘散沙
apff 开采权
apgg 无所不在 无所不有
apgh 无所不至
apgn 一钱不值
apgr 无所不包
apgs 一般而言
apgu 无所不为
apgy 无所顾忌
apkg 一反常态
apks 一番话
apku 无所畏惧
aplf 一盘棋
aplm 一针见血
apls 一般见识
aplt 残兵败将
aplw 无所用心
apmn 一般等价物
apns 正镶白旗
apnu 无所作为
appp 可锻铸铁
apqo 一般人
apqu 一般性
apsb 一般说来
apvs 无所谓
apwo 无所适从
apwp 一丘之貉
apws 一锤定音
apyx 百般刁难
aq 一月
aqam 更胜一筹
aqaq 一犯再犯
aqbb 两脚规
aqbu 下脚料
aqby 两脚架
aqfq 丁腈橡胶
aqfx 一脉相承
aqgb 无风不起浪
aqgn 无独有偶
aqlc 开脱罪责
aqsk 天狼星
aqvn 一月份
aqxq 恶狠狠
aqym 一肚子气
ar 死
arad 死于
arae 死刑
aral 殨
arar 殡殓
aras 万象更新 天各一方
arau 歼灭 无怨无悔
araz 更多更好
arb 殪
arba 烈士
arbk 天昏地暗
arbm 死者
arbu 殬
arbv 殓
arbz 死去 歼击 残云
arcj 殉职
arcm 殝
arcr 列表
arcz 残毒
ardi 死掉
ardj 残损 裂损
ardn 哥儿们
are 殖
area 殡葬
areg 无名英雄
arel 殖
arex 列支
arfg 一条龙
arfj 殐
arfm 残酷
arfn 无条件
arfo 一条街
arfp 死板
arfq 死机
arfw 一条心
arga 死硬
argf 天然林
argi 残存
argm 天然气
argr 天然色
args 殠
argv 列在
argx 残破
arh 残
arhb 殌
arhe 列车
arhh 殘
arhm 残
aria 正处于
aric 副外长
arj 殒
arja 裂口
arjc 殉国 殣
arjd 无名指
arjj 残品
arjl 殒 殞 残喘
arjn 形象化
arjr 死路 殑
arjs 一句话
arju 殪
arjz 两条路线
ark 列
arka 烈日 殲 殱
arkd 列
arke 残暴 殚 殫
arkg 殧
