name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
update=1
user=pinyin.usr
assist=mb/yong.txt 2
angshoutingxiong 昂首挺胸
angsi 盎司
anguiding 按规定
angyang 昂扬
angzang 肮脏
anhai 暗害
anhan 暗含
anhao 暗号 安好
anhui 安徽
anhuisheng 安徽省
anji 按季
anjia 安家
anjian 案件 按键 安检
anjianxian 安检线
anjiao 暗叫 暗礁
anjie 按揭
anjihua 按计划
anjilina 安吉丽娜
anjing 安静
anjisuan 氨基酸
anju 安居
anjuan 案卷
anjuleye 安居乐业
ankang 安康
ankui 暗亏
anlaofenpei 按劳分配
anlaoquchou 按劳取酬
anle 按了 安乐
anlei 按类
anli 案例 按理
anlian 暗恋
anliang 按量
anlihui 安理会
anlishuo 按理说
anliu 暗流
anma 暗骂 鞍马
anmen 俺们
anmi 安谧
anmian 安眠
anmianyao 安眠药
anmin 安民
anmingaoshi 安民告示
anmo 按摩
anna 按捺 安娜
annaibuzhu 按耐不住
anni 安妮
annina 安妮娜
anning 安宁
anniu 按钮
anpai 安排
anpei 安培
anpinledao 安贫乐道
anqi 按期 暗器
anqianmahou 鞍前马后
anqing 案情
anquan 安全
anquandai 安全带
anquanfa 安全阀
anquangan 安全感
anquanqu 安全区
anquanshengchan 安全生产
anquantao 安全套
anquanxing 安全性
anran 黯然 安然
anranshenshang 黯然神伤
anri 按日
ansha 暗杀
anshan 鞍山
anshang 岸上
anshen 安神 安身
ansheng 安生
anshenliming 安身立命
anshi 暗示 暗室 按时
anshiwancheng 按时完成
anshui 氨水 安睡
anshuo 按说
ansuan 暗算
antai 安胎
antan 暗叹 暗探
antongkuanqu 暗通款曲
antou 案头
antusheng 安徒生
antusuoji 按图索骥
anwei 安慰 安危
anwen 安稳
anxi 安息 暗喜
anxia 按下
anxian 暗线
anxiang 安详 暗想 安享
anxiao 暗笑
anxie 安歇
anxin 安心
anxufenpei 按需分配
anxun 按旬
anya 按压
anyi 安逸
anyingzhazhai 安营扎寨
anyou 案由
anyu 安于 暗语
anyuanjihua 按原计划
anyue 按月
anzai 按在
anzang 安葬
anzhao 按照
anzhe 按着
anzhi 安置
anzhiruosu 安之若素
anzhong 暗中
anzhu 按住
anzhuang 安装
anzhuangban 安装版
anzhuangbao 安装包
anzhuo 安卓
anzi 暗自 案子
ao 奥 澳 傲 熬 敖 凹 袄 懊 坳 嗷 拗 鏖 骜 鳌 翱 岙 廒 遨 獒 聱 媪 螯 鏊 璈
aobama 奥巴马
aodaliya 澳大利亚
aodi 奥迪
aodili 奥地利
aogu 傲骨
aoguo 熬过
aohen 懊恨
aohui 懊悔
aojian 熬煎
aojin 凹进
aokou 拗口
aolian 熬炼
aolinpike 奥林匹克
aoman 傲慢
aomen 澳门
aomi 奥秘
aomiao 奥妙
aonao 懊恼
aoqi 傲气
aoran 傲然
aosang 懊丧
aoshi 傲视
aosika 奥斯卡
aotou 凹透
aotu 凹凸
aotubuping 凹凸不平
aoweihui 奥委会
aoxian 凹陷
aoxiang 翱翔
aoyao 熬药
aoye 熬夜
aoyou 遨游
aoyun 奥运
aoyunhui 奥运会
aozhan 鏖战
aozhou 澳洲
apo 阿婆
asenna 阿森纳
asipilin 阿司匹林
ati 阿嚏
aweisuanna 阿魏酸钠
aya 啊呀
ayi 阿姨
ayo 啊哟
b 不 把 被 本 并
ba 把 吧 八 巴 爸 罢 拔 叭 芭 霸 靶 扒 疤 跋 坝 笆 耙 粑 灞 茇 菝 魃 岜 捌 钯 鲅
baba 爸爸
babaduosi 巴巴多斯
babaguan 把把关
babai 八百
babainian 八百年
babaiwan 八百万
babamama 爸爸妈妈
babaoshan 八宝山
babaozhou 八宝粥
babilun 巴比伦
babing 把柄
babude 巴不得
bachang 靶场
bacheng 八成
bachi 把持
bachu 拔出 罢黜 拔除
bada 八大
badaling 八达岭
badao 霸道
badaoxiangzhu 拔刀相助
badetouchou 拔得头筹
badian 八点
badiao 拔掉
badierqi 拔地而起
baduan 八段
badui 把对
bafang 八方
bagao 拔高
bage 八个
bagong 罢工
bagu 八股
bagua 八卦
baguan 把关 罢官
baguo 八国
baguolianjun 八国联军
baguwen 八股文
bahao 八号
bahaoguan 把好关
bahe 拔河
bahen 疤痕
bahu 跋扈
bahuang 八荒
bai 百 白 败 摆 伯 拜 柏 呗 掰 捭 佰 稗
baibai 白白 拜拜
baiban 百般
baibaonang 百宝囊
baibei 百倍 败北
baibi 败笔
baibian 百变
baibing 百病
baibu 摆布
baibuchuanyang 百步穿杨
baibunei 败不馁
baicai 白菜
baichi 白痴
baichideng 白炽灯
baichigantou 百尺竿头
baichu 摆出
baida 白搭
baidagua 白大褂
baidao 拜倒 摆到 白道
baidian 白点
baidong 摆动
baidu 百度 拜读 摆渡
baieluosi 白俄罗斯
baifa 白发
baifang 拜访 摆放
baifei 白费
baifeidaixing 百废待兴
baifen 百分
baifenbai 百分百
baifenbi 百分比
baifendian 百分点
baifenlv 百分率
baifenshu 百分数
baifenzhi 百分之 百分制
baifenzhibai 百分之百
baifenzhiyi 百分之一
baifo 拜佛
baigan 白干
baiganjiaoji 百感交集
baige 白鸽
baigong 白宫
baigu 白骨
baiguan 百官
baiguang 白光
baihe 百合 白鹤 捭阖
baihu 白虎
baihua 百花 白话 白花
baihuahua 白花花
baihuai 败坏
baihuaqifang 百花齐放
baihuawen 白话文
baihui 拜会
baihuo 百货 白活 败火
baihuodalou 百货大楼
baihuodian 百货店
baihuoshangdian 百货商店
baiji 败绩
baijia 百家
baijian 拜见
baijiang 败将
baijiaxing 百家姓
baijiazhengming 百家争鸣
baijiazi 败家子
baijie 白洁
baijin 白金 拜金
baijinban 白金版
baijing 白净
baijiu 白酒
baiju 败局
baijuan 白卷
baijuguoxi 白驹过隙
baijuyi 白居易
baikai 摆开
baikaishui 白开水
baike 百科
baikecidian 百科词典
baikequanshu 百科全书
baikezhishi 百科知识
baikuo 摆阔
baikuoqi 摆阔气
bailandi 白兰地
baile 白了
bailei 败类
baili 百里
bailian 白脸
bailianchenggang 百炼成钢
bailin 白琳 白磷
bailing 白领 百灵
bailingniao 百灵鸟
bailitouhong 白里透红
bailu 败露 白露 白鹭
bailuo 败落
baima 白马
baiman 摆满
baimangdangzhong 百忙当中
baimangmang 白茫茫
baimangzhizhong 百忙之中
baimi 百米
baimian 白面
baimiao 白描
baiming 摆明
baineizhang 白内障
bainen 白嫩
bainian 百年 拜年
bainianbuyu 百年不遇
bainiandaji 百年大计
bainianshuren 百年树人
bainianzhihao 百年之好
bainianzhihou 百年之后
bainong 摆弄
baiping 摆平
baipishu 白皮书
baiqi 白旗 白起 白棋
baiqiang 百强
baiqiuen 白求恩
baiqu 白区
baire 白热
bairehua 白热化
bairen 白人
bairi 白日 百日
bairimeng 白日梦
bairizuomeng 白日做梦
baise 白色
baishanheishui 白山黑水
baishao 白芍
baishe 摆设
baishen 拜神
baishi 拜师
baishikele 百事可乐
baishitong 百事通
baishou 摆手 拜寿 百兽
baishouqijia 白手起家
baishu 白薯
baishuang 白霜
baishui 白水
baishuo 白说
baisibudeqijie 百思不得其解
baisong 白送
baisu 败诉
baisui 百岁
baisuilaoren 百岁老人
baitai 百态
baitan 摆摊
baitang 白糖
baitian 白天
baitianheiye 白天黑夜
baitiao 白条
baitingbuyan 百听不厌
baitou 白头
baitoudaolao 白头到老
baitouweng 白头翁
baitu 白兔
baitui 败退
baituo 摆脱 拜托
baituokunjing 摆脱困境
baiwan 百万
baiwanfuweng 百万富翁
baiwang 拜望
baiwei 百威 百味 百位
baiweichenza 百味陈杂
baiwenbufan 百问不烦
baiwenburuyijian 百闻不如一见
baiwujinji 百无禁忌
baiwuliaolai 百无聊赖
baiwuyiyong 百无一用
baiwuyiyongshishusheng 百无一用是书生
baixi 白皙
baixiazhenlai 败下阵来
baixie 拜谢
baixing 百姓
baixinku 白辛苦
baixue 白雪
baixuebing 白血病
baixuqizhong 败絮其中
baiyan 白眼
baiyang 白杨
baiyangdian 白洋淀
baiyangzi 摆样子
baiye 百叶 拜谒
baiyechuang 百叶窗
baiyi 白衣 白蚁
baiyin 白银
baiyu 白玉
baiyuan 百元
baiyuren 百余人
baiyun 白云
baiyuncanggou 白云苍狗
baiyunguan 白云观
baiyunqu 白云区
baizai 摆在
baizaishouwei 摆在首位
baizhan 百战
baizhanbaisheng 百战百胜
baizhanbudai 百战不殆
baizhang 败仗
baizhao 百兆
baizhe 摆着
baizhebunao 百折不挠
baizhen 败阵
baizheng 摆正
baizhi 白纸
baizhiheizi 白纸黑字
baizhong 白种
baizhou 白昼
baizi 白字
baizu 白族
baizuzhicong 百足之虫
baji 坝基
bajian 拔尖
bajiao 八角 芭蕉
bajie 巴结 八戒 拔节
bajisitan 巴基斯坦
bajiubulishi 八九不离十
bajiudianzhong 八九点钟
bajiuyanhuan 把酒言欢
bakai 扒开
bake 罢课
bakuai 八块
bala 扒拉
balagui 巴拉圭
bale 罢了
balei 芭蕾
baleiwu 芭蕾舞
balesitan 巴勒斯坦
bali 巴黎
baliang 八两
balidao 巴厘岛
balujun 八路军
bama 爸妈
bamai 把脉
bamen 把门
bamian 罢免
bamianlinglong 八面玲珑
bamianquan 罢免权
bamiaozhuzhang 拔苗助长
baming 八名
ban 办 半 般 板 班 版 伴 扮 搬 斑 颁 瓣 拌 扳 绊 阪 坂 瘢 钣 舨 癍 柈
banama 巴拿马
banan 办案
banbai 半百 斑白
banban 斑斑 办班
banbao 办报 板报
banbeizi 半辈子
banben 版本
banbenhao 版本号
banbian 半边
banbiantian 半边天
banbijiangshan 半壁江山
banbing 搬兵
banbo 斑驳
banbu 颁布 半步
banbucheng 办不成
banbudao 办不到
banchan 班禅
banchang 办厂 伴唱
banche 班车
bancheng 办成
banchengpin 半成品
banchou 半筹
banchu 搬出
banchuqu 搬出去
banci 班次 版次
bandao 搬到 半岛 办到
bandaoti 半导体
bande 般的
bandedao 办得到
bandeng 板凳
bandi 班底
bandian 半点 斑点
bandiaozi 半吊子
bandong 搬动
bandongbudong 半懂不懂
bandun 半蹲 半吨
banfa 办法 颁发
banfang 班房
banfen 半分
banfengjianbanzhimindi 半封建半殖民地
banfu 板斧
bangfei 绑匪
bangfu 帮扶
bang 帮 棒 绑 邦 膀 榜 傍 磅 谤 浜 梆 镑 蚌 稖 𠳐
bangban 帮办
bangbang 帮帮
bangcheng 磅秤
bangchui 棒槌
bangdan 榜单
bangdaomang 帮倒忙
bangdayaoyuan 膀大腰圆
bangding 绑定
bange 半个
bangeduoshiji 半个多世纪
bangeyue 半个月
bangui 版规
bagangbianzheng 八纲辨证
banggong 帮工
banghui 帮会
bangjia 绑架
bangjiao 帮教 邦交
bangjile 棒极了
bangmang 帮忙
bangni 帮你
bangong 办公
bangongbandu 半工半读
bangongfei 办公费
bangonglou 办公楼
bangongshebei 办公设备
bangongshi 办公室
bangongting 办公厅
bangongzhuo 办公桌
bangpai 帮派
bangpiao 绑票
bangqiang 帮腔
bangqiu 棒球
bangshen 傍身
bangshou 帮手 榜首
bangta 帮他 帮她
bangwan 傍晚
bangwo 帮我
bangxiong 帮凶
bangyang 榜样
bangzai 绑在
bangzhe 帮着
bangzhu 帮助 帮主 绑住
bangzi 棒子 膀子
banhao 办好 版号
banhua 版画
banhui 搬回 班会 扳回
banhuijia 搬回家
banhuike 班会课
bani 把你
banian 八年
banimen 把你们
banji 班级 班机
banjia 搬家 半价
banjiang 颁奖
banjiangli 颁奖礼
banjiao 半角
banjiaoshi 绊脚石
banjie 半截 板结
banjin 搬进 半斤
banjinbaliang 半斤八两
banjing 半径
banjiu 斑鸠
banju 半句
banjuesai 半决赛
banjunrubanhu 伴君如伴虎
banka 办卡 板卡
bankai 搬开 半开
bankan 办刊
bankong 半空
bankongzhong 半空中
bankuai 板块 版块
banlai 搬来
banlan 斑斓
banlangen 板蓝根
banle 办了
banli 办理 班里 板栗
banlu 半路
banluo 半裸
banlushang 半路上
banlv 伴侣
banlvdaishi 半履带式
banma 斑马
banmennongfu 班门弄斧
banmi 半米
banmian 版面
banna 版纳
bannian 半年
banniang 伴娘
bannong 搬弄
banpai 半拍
banpei 般配
banpiao 半票
banping 半瓶 扳平
banqi 办起
banqian 搬迁
banqishitouzazijijiao 搬起石头砸自己脚
banqiu 半球
banquan 版权
banquanju 版权局
banquansuoyou 版权所有
banri 半日
banru 搬入
banshang 班上 搬上
banshangdingding 板上钉钉
banshanyao 半山腰
banshenbusui 半身不遂
bansheng 半生
banshengbushu 半生不熟
banshi 办事 版式
banshichu 办事处
banshishi 办实事
banshiyuan 办事员
banshou 扳手
banshouren 半兽人
banshu 半数
banshuanggong 半双工
banshui 版税
bansi 半死
bansui 伴随
bantian 半天
bantouming 半透明
bantu 版图
bantuerfei 半途而废
bantuibanjiu 半推半就
bantuo 办妥
bantuochan 半脱产
banwan 办完
banwenmang 半文盲
banwo 伴我
banwu 伴舞 版务
banxiang 扮相
banxinbanyi 半信半疑
banxue 办学
banyan 扮演
banyanzhe 扮演者
banye 半夜
banyou 伴有
banyuan 半圆
banyue 半月
banyuekan 半月刊
banyun 搬运
banyungong 搬运工
banzhang 班长
banzhe 伴着 板着
banzhebanyan 半遮半掩
banzheng 办证
banzhimindi 半殖民地
banzhimindibanfengjian 半殖民地半封建
banzhu 版主
banzhuchilaohu 扮猪吃老虎
banzhuren 班主任
banzi 班子
banzidong 半自动
banzidonghua 半自动化
banzou 伴奏 搬走
banzu 班组
banzui 拌嘴
banzuzhang 班组长
bao 报 保 宝 抱 包 暴 薄 胞 爆 鲍 饱 堡 曝 刨 褒 豹 雹 苞 葆 褓 孢 煲 鸨 龅 趵 剥 勹 瀑
baoan 保安 报案
baoanqu 宝安区
baoban 包办
baobao 宝宝
baobei 宝贝
baoben 保本
baobi 包庇
baobian 褒贬
baobiao 报表 保镖
baobing 暴病
baobuzhu 保不住 抱不住 包不住
baocang 保藏
baocanshouque 抱残守缺
baochan 包产
baochang 饱尝 报偿
baochao 包抄
baoche 包车
baochi 保持
baochiwending 保持稳定
baochizhe 保持着 保持者
baochou 报酬 报仇
baochouxuehen 报仇雪恨
baochu 爆出 报出 抱出 曝出
baocun 保存
baocunqi 保存期
baocuo 报错
baoda 报答 暴打
baodao 报道 报导 报到 宝岛 宝刀
baodaobulao 宝刀不老
baodatui 抱大腿
baodi 宝地
baodian 宝典
baodie 暴跌
baoding 保定
baodingshi 保定市
baodiqu 宝坻区
baodong 暴动
baoduan 报端
baoen 报恩
baofa 爆发
baofahu 暴发户
baofali 爆发力
baofang 包房
baofei 报废
baofeng 暴风
baofengxue 暴风雪
baofengyu 暴风雨
baofu 报复 抱负 包袱 暴富
baogan 包干
baogang 包钢
baogao 报告
baogaohui 报告会
baogaoren 报告人
baogaoshu 报告书
baogaowenxue 报告文学
baoge 饱咯
baogong 包工
baogongbaoliao 包工包料
baogongtou 包工头
baoguan 保管 报关
baoguang 曝光
baogui 宝贵
baoguo 包裹 报国
baohan 包含 包涵 饱含
baohanbuzhiehanji 饱汉不知饿汉饥
baohe 饱和
baohen 抱恨
baohu 保护
baohuan 包换
baohuceng 保护层
baohuqu 保护区
baohusan 保护伞
baohuse 保护色
baoji 保级 宝鸡
baojia 报价 保驾
baojialiya 保加利亚
baojian 保健 保荐 宝剑
baojiancao 保健操
baojiang 褒奖
baojianhui 保监会
baojiaozi 包饺子
baojiaweiguo 保家卫国
baojie 保洁 报捷
baojin 抱紧
baojing 报警 报经
baojingqi 报警器
baojishi 宝鸡市
baoju 保举
baojun 暴君
baokan 报刊
baokanzazhi 报刊杂志
baokao 报考
baoku 宝库
baokuo 包括
baolan 包揽
baole 饱了
baolei 堡垒
baoleng 爆冷
baolengmen 爆冷门
baoli 暴力 暴利
baoliao 爆料
baolie 爆裂 暴烈
baolingqiu 保龄球
baoliu 保留
baolu 暴露
baoluan 暴乱
baoluo 保罗 包罗
baoma 宝马
baoman 饱满 爆满
baomi 保密
baomiju 保密局
baoming 报名 保命
baomu 保姆 报幕
baonu 暴怒
baonuan 保暖
baonue 暴虐
baopeng 爆棚
baopi 报批 包皮
baopiao 包票
baopo 爆破
baoqi 抱起
baoqian 抱歉
baoqing 报请
baoqingtian 包青天
baoquan 保全
baoren 保人
baorong 包容
baoru 爆乳
baoshai 暴晒
baoshan 宝山
baoshanqu 宝山区
baoshe 报社
baoshen 报审
baoshi 宝石 报时 保释
baoshou 保守 饱受
baoshoudang 保守党
baoshoupai 保守派
baoshu 报数
baoshui 报税
baoshuiqu 保税区
baosong 报送 保送
baosongsheng 保送生
baotiantianwu 暴殄天物
baotiaorulei 暴跳如雷
baotong 报童
baotou 包头 抱头
baotoushi 包头市
baotoushucuan 抱头鼠窜
baotoutongku 抱头痛哭
baotu 暴徒
baotuan 抱团
baotui 包退
baowei 包围 保卫
baoweike 保卫科
baoweiquan 包围圈
baoweizhan 保卫战
baowen 保温
baowenna 鲍文娜
baowu 宝物
baowuyuan 报务员
baoxi 报喜
baoxian 保险 保鲜
baoxianfei 保险费
baoxiang 包厢
baoxiangang 保险杠
baoxiangongsi 保险公司
baoxiangui 保险柜
baoxianjin 保险金
baoxianye 保险业
baoxiao 报销 报效 包销 报晓
baoxibubaoyou 报喜不报忧
baoxin 报信
baoxing 暴行
baoxiong 抱熊 抱胸 暴熊 胞兄
baoxiu 保修 包修
baoxue 暴雪
baoyang 保养 包养 抱养
baoye 包夜 报业
baoyi 报以 褒义
baoyinbaoshi 暴饮暴食
baoying 报应
baoyong 保用
baoyou 保佑 抱有
baoyouliang 保有量
baoyu 暴雨 保育
baoyuan 抱怨
baoyuchengzai 暴雨成灾
baoyue 包月
baoza 包扎
baozai 抱在
baozang 宝藏
baozao 暴躁
baozha 爆炸
baozhaan 爆炸案
baozhaxing 爆炸性
baozhang 保障 暴涨 报账
baozhangxing 保障性
baozhe 抱着
baozhen 抱枕 保真
baozheng 保证 暴政
baozhengjin 保证金
baozhengren 保证人
baozhengshu 保证书
baozhi 报纸 保质 保值
baozhiqi 保质期
baozhong 保重
baozhu 保住 爆竹 抱住
baozhuang 包装
baozi 包子 豹子 孢子
baozitou 豹子头
baozuo 宝座
baqi 霸气
baqian 把钱 八千
baqiang 八强 把枪 拔枪
baqianwan 八千万
baqiaoqu 灞桥区
baqu 拔去
baquan 霸权
baquanzhuyi 霸权主义
baren 把人
bari 八日
basailuona 巴塞罗那
bashansheshui 跋山涉水
bashe 跋涉
bashi 八十 八时 巴士 把式
bashidiyu 巴士底狱
bashiniandai 八十年代
bashou 把手 把守 罢手
bashu 巴蜀
bata 把他 把她 把它
bataidajiao 八抬大轿
bateer 巴特尔
batiao 八条
batou 把头
bawan 把玩 八万
bawang 霸王
bawangbieji 霸王别姬
bawangyingshanggong 霸王硬上弓
bawo 把握 把我
bawojiyu 把握机遇
bawu 八五
baxi 巴西 把戏
baxiang 八项
baxianguohai 八仙过海
baxianzhuo 八仙桌
baxiaoshi 八小时
baxin 把心 把信 靶心
baxiu 罢休
bayi 八一 八亿
bayidui 八一队
bayin 八音
bayue 八月
bayuefen 八月份
bazhan 霸占
bazhang 巴掌
bazhe 把这 八折
bazhu 霸主 把住
bazi 八字 靶子
baziji 把自己
bei 被 北 备 背 悲 辈 杯 倍 贝 碑 卑 蓓 惫 悖 狈 呗 焙 鹎 孛 邶 陂 埤 碚 褙 钡 鐾 鞴
beiai 悲哀
beiaierlan 北爱尔兰
beian 备案 北岸
beianhao 备案号
beibanqiu 北半球
beibao 背包
beibaofu 背包袱
beibi 卑鄙
beibian 北边
beibingyang 北冰洋
beibu 北部 被捕 背部
beibuwan 北部湾
beican 悲惨
beice 北侧
beicha 备查
beichenqu 北辰区
beichengwei 被称为
beichuang 悲怆
beici 被刺
beicui 悲催
beida 被打 北大
beidahuang 北大荒
beidai 背带
beidaihe 北戴河
beidajie 北大街
beidan 被单
beidao 被盗
beidaoerchi 背道而驰
beidi 背地
beidiao 贝雕
beidili 背地里
beidong 被动
beidongjumian 被动局面
beidou 北斗
beidouxing 北斗星
beiduan 北段
beidui 背对
beiduofen 贝多芬
beier 贝尔
beifa 北伐 被罚
beifang 北方
beifanglingtu 北方领土
beifangren 北方人
beifen 备份 悲愤 辈分
beifeng 北风
beifu 背负 被俘
beigan 倍感
beigao 被告
beigaoren 被告人
beigaoxi 被告席
beige 悲歌
beigeng 备耕
beigongquxi 卑躬屈膝
beiguan 悲观
beiguanshiwang 悲观失望
beiguanyanshi 悲观厌世
beiguo 北国
beiguofengguang 北国风光
beihai 被害 北海
beihairen 被害人
beihaizhe 被害者
beiheiguo 背黑锅
beihou 背后
beihuan 悲欢
beihuanlihe 悲欢离合
beihuiguixian 北回归线
beiji 北极
beijia 倍加
beijian 卑贱
beijiang 北疆
beijie 北街
beijing 北京 背景
beijingdaxue 北京大学
beijingdiqu 北京地区
beijinglixiang 背井离乡
beijingren 北京人
beijingse 背景色
beijingshi 北京市
beijingshijian 北京时间
beijingzhan 北京站
beijixing 北极星
beiju 悲剧
beikao 备考 背靠
beikaobei 背靠背
beike 贝壳 备课
beikong 被控
beikou 被扣
beiku 悲苦
beikun 被困
beilan 惫懒
beilei 蓓蕾
beili 背离
beiliang 悲凉
beiliao 备料
beilie 卑劣
beilinqu 碑林区
beilou 北楼
beilu 北路 北麓
beilun 悖论
beilunqu 北仑区
beimei 北美
beimeizhou 北美洲
beimen 北门
beimian 背面 北面
beinang 背囊
beiou 北欧
beipan 背叛
beipian 被骗
beiping 北平
beipingwei 被评为
beipo 被迫
beiqi 背起 背弃
beiqie 悲切 被窃
beiqing 悲情
beiren 被人
beiru 被褥
beisanhuan 北三环
beisha 被杀
beishang 悲伤 背上
beishou 备受 倍受
beishoulingru 备受凌辱
beishu 倍数
beishuichexin 杯水车薪
beishuiyizhan 背水一战
beisihuan 北四环
beisong 背诵 北宋
beitai 备胎
beitan 悲叹
beitianminren 悲天悯人
beitong 悲痛
beitou 北头
beitu 北图
beiwang 备忘
beiwanglu 备忘录
beiwei 北纬 卑微
beiwen 碑文
beiwendai 北温带
beiwo 被我 被窝
beixi 悲喜
beixia 卑下
beixin 背心
beixinqiyi 背信弃义
beixuanwei 被选为
beiyan 被淹
beiyang 北洋
beiyangshuishi 北洋水师
beiyapo 被压迫
beiyin 背阴
beiying 背影
beiyong 备用
beiyou 备有
beiyu 倍于
beiyue 北约
beiyuwei 被誉为
beizeng 倍增
beizhan 备战 北站
beizhanlingtu 被占领土
beizhe 背着
beizhebao 背着包
beizhong 杯中
beizhu 备注
beizhua 被抓
beizhuang 悲壮
beizi 被子 杯子
beizu 备足
ben 本 奔 苯 笨 夯 锛 贲 畚 坌 倴 喯 夲 奙 捹 撪 桳 楍 泍 渀 炃 燌 犇 獖 翉 蟦 賁 輽 逩 錛 鐼
benan 本案
benban 本版
benbao 本报
benbaojizhe 本报记者
benbaoxun 本报讯
benben 本本
benbenfenfen 本本分分
benbi 本币
benbo 奔波
benbu 本部
benbumen 本部门
bencaogangmu 本草纲目
benchang 本厂 本场
benchi 奔驰
benci 本次
bendan 笨蛋
bendanwei 本单位
bendi 本地
bendian 本店
bendihua 本地化 本地话
bendiqu 本地区
bendui 本队
benfang 奔放
benfen 本分
benfu 奔赴
beng 崩 甭 绷 蹦 迸 泵 甏 嘣 蚌 琫 祊 镚
bengai 本该
bengairuci 本该如此
bengang 本港
bengbeng 蹦蹦
bengbu 蚌埠
bengdai 绷带
bengfa 迸发
benghuai 崩坏
bengjin 绷紧
bengkui 崩溃
bengongsi 本公司
bengqilai 蹦起来
bengta 崩塌
benguo 本国
bengzhan 泵站
benhang 本行
benji 本机 本级 本季
benjia 本家
benjiasuan 苯甲酸
benjidu 本季度
benjie 本届
benjin 本金
benju 本局
benkan 本刊
benke 本科
benkesheng 本科生
benkuan 本款
benlai 本来
benlei 本类
benli 本利
benling 本领
benliu 奔流
benlun 本轮
benmang 奔忙
benming 奔命
benmodaozhi 本末倒置
benneng 本能
bennian 本年
benniandu 本年度
benniaoxianfei 笨鸟先飞
benpao 奔跑
benpian 本片
benpin 本品
benqi 本期
benqian 本钱
benqu 奔去 本区
benren 本人
benri 本日
bensang 奔丧
bense 本色
benshe 本社
benshen 本身
bensheng 本省
benshi 本事 本市
benshiji 本世纪
benshoubenjiao 笨手笨脚
benshu 本书
bensuo 本所
bentai 本台
bentaijizhe 本台记者
